symbol,clojure_core,basilisp_core,status
unchecked-float,true,true,shared
unchecked-inc,true,true,shared
unchecked-inc-int,true,true,shared
unchecked-int,true,true,shared
unchecked-long,true,true,shared
unchecked-multiply,true,true,shared
unchecked-multiply-int,true,true,shared
unchecked-negate,true,true,shared
unchecked-negate-int,true,true,shared
unchecked-remainder-int,true,true,shared
unchecked-short,true,true,shared
unchecked-subtract,true,true,shared
unchecked-subtract-int,true,true,shared
underive,true,true,shared
unquote,true,true,shared
unquote-splicing,true,true,shared
unreduced,true,true,shared
unsigned-bit-shift-right,true,true,shared
update,true,true,shared
update-in,true,true,shared
update-keys,true,true,shared
update-proxy,true,true,shared
update-vals,true,true,shared
uri?,true,true,shared
use,true,true,shared
uuid-like?,false,true,basilisp-extension
uuid?,true,true,shared
val,true,true,shared
vals,true,true,shared
var-get,true,true,shared
var-set,true,true,shared
var?,true,true,shared
vary-meta,true,true,shared
vec,true,true,shared
vector,true,true,shared
vector-of,true,true,shared
vector?,true,true,shared
volatile!,true,true,shared
volatile?,true,true,shared
vreset!,true,true,shared
vswap!,true,true,shared
when,true,true,shared
when-first,true,true,shared
when-let,true,true,shared
when-not,true,true,shared
when-some,true,true,shared
while,true,true,shared
with,false,true,basilisp-extension
with-async,false,true,basilisp-extension
with-bindings,true,true,shared
with-bindings*,true,true,shared
with-in-str,true,true,shared
with-loading-context,true,false,missing-in-basilisp
with-local-vars,true,true,shared
with-meta,true,true,shared
with-open,true,true,shared
with-out-str,true,true,shared
with-precision,true,true,shared
with-redefs,true,true,shared
with-redefs-fn,true,true,shared
xml-seq,true,true,shared
zero?,true,true,shared
zipmap,true,true,shared
